IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
400f03,rdi,41458938,1424,masked,<_Z7runTestiPPc>,add,"add, $0x4,%rax",1,0,58.57071,73.13432835820896,26.86567164179105,INTEGER,0.3673469387755102
400f07,rax,41458938,1424,crash,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",0,1,58.57071,72.636815920398,27.36318407960199,CONDITION,0.3795180722891566
400ef0,rdi,41462193,662,masked,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",1,0,58.575313,72.13930348258707,27.860696517412936,DATAXFER,0.34673366834170855
400ef8,rcx,41523571,775,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020c0(,%rdx,4),%edx",1,0,58.662111,71.64179104477611,28.35820895522388,DATAXFER,0.291970802919708
400ddb,rflags,41526699,2343,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,58.666535,71.14427860696517,28.855721393034827,CONDITION,0.28
400f07,rcx,41532549,578,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,58.674807,70.64676616915423,29.35323383084577,CONDITION,0.3795180722891566
400ef8,rcx,41537643,1825,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020c0(,%rdx,4),%edx",1,0,58.682011,70.14925373134328,29.85074626865672,DATAXFER,0.291970802919708
400b0d,rcx,41591635,365,crash,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",0,1,58.758364,70.64676616915423,29.35323383084577,INTEGER,0.203125
400f07,rflags,41630556,548,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,58.813405,70.64676616915423,29.35323383084577,CONDITION,0.3795180722891566
400f07,rax,41656961,1782,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,58.850746,70.64676616915423,29.35323383084577,CONDITION,0.3795180722891566
400b04,rflags,41680741,219,crash,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r11,4),%ecx",0,1,58.884374,70.64676616915423,29.35323383084577,DATAXFER,0.2830188679245283
400b00,rcx,41715739,1072,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,58.933867,71.14427860696517,28.855721393034827,INTEGER,0.29508196721311475
400c00,rcx,41715739,1072,crash,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",0,1,58.933867,70.64676616915423,29.35323383084577,CONDITION,0.3880597014925373
400c0e,rdx,41724719,472,crash,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%rcx",0,1,58.946566,70.64676616915423,29.35323383084577,INTEGER,0.34375
400dd7,rcx,41747420,449,crash,<_Z7runTestiPPc>,add,"add, $0x1,%rax",0,1,58.978669,70.64676616915423,29.35323383084577,INTEGER,0.30864197530864196
400b14,rdx,41763605,2699,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r10,4),%ecx",1,0,59.001557,70.64676616915423,29.35323383084577,DATAXFER,0.4375
400ef5,rcx,41855373,2632,masked,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",1,0,59.131332,70.64676616915423,29.35323383084577,INTEGER,0.3141025641025641
400b11,rsi,41889664,2079,masked,<_Z7runTestiPPc._omp_fn.0>,cmovl,"cmovl, %ecx,%esi",1,0,59.179825,70.64676616915423,29.35323383084577,DATAXFER,0.13793103448275862
400c0e,rdx,41959028,1516,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%rcx",1,0,59.277916,71.14427860696517,28.855721393034827,INTEGER,0.34375
400ddb,rcx,41959028,1516,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,59.277916,70.64676616915423,29.35323383084577,CONDITION,0.28
400b0f,rsi,41971267,844,crash,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",0,1,59.295224,71.14427860696517,28.855721393034827,CONDITION,0.4117647058823529
400b09,rflags,41971267,844,crash,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, (%rdx),%esi",0,1,59.295224,71.14427860696517,28.855721393034827,DATAXFER,0.34545454545454546
400f03,rflags,42036726,1392,masked,<_Z7runTestiPPc>,add,"add, $0x4,%rax",1,0,59.387794,71.14427860696517,28.855721393034827,INTEGER,0.3673469387755102
400be8,rdx,42036726,1392,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r11,4),%esi",1,0,59.387794,71.14427860696517,28.855721393034827,DATAXFER,0.22413793103448276
400bf5,rdx,42093591,355,masked,<_Z7runTestiPPc._omp_fn.1>,cmovl,"cmovl, %esi,%edi",1,0,59.46821,71.14427860696517,28.855721393034827,DATAXFER,0.3939393939393939
400f07,rflags,42143483,2177,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,59.538765,70.64676616915423,29.35323383084577,CONDITION,0.3795180722891566
400b09,rcx,42174184,2429,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, (%rdx),%esi",1,0,59.582181,70.64676616915423,29.35323383084577,DATAXFER,0.34545454545454546
400f07,rflags,42230684,2531,crash,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",0,1,59.662081,70.64676616915423,29.35323383084577,CONDITION,0.3795180722891566
400b1b,rdi,42234579,1661,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,59.667589,71.14427860696517,28.855721393034827,CONDITION,0.2857142857142857
400bed,rax,42241104,964,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, (%rcx),%edi",1,0,59.676817,71.14427860696517,28.855721393034827,DATAXFER,0.33962264150943394
400b0b,rdx,42314881,1038,masked,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%ecx",1,0,59.781149,71.14427860696517,28.855721393034827,INTEGER,0.25333333333333335
400bf3,rdi,42346265,241,masked,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",1,0,59.825531,71.14427860696517,28.855721393034827,CONDITION,0.30434782608695654
400ddb,rcx,42350630,342,crash,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",0,1,59.831704,71.14427860696517,28.855721393034827,CONDITION,0.28
400b20,rdx,42381440,2649,crash,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdi",0,1,59.875274,71.64179104477611,28.35820895522388,INTEGER,0.45901639344262296
400b19,rcx,42381908,1832,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, (%rdi),%ecx",1,0,59.875936,72.13930348258707,27.860696517412936,INTEGER,0.265625
400b0d,rdx,42402382,401,crash,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",0,1,59.904889,72.13930348258707,27.860696517412936,INTEGER,0.203125
400ef5,rflags,42418201,521,masked,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",1,0,59.92726,72.636815920398,27.36318407960199,INTEGER,0.3141025641025641
400ddb,rax,42440804,1555,crash,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",0,1,59.959224,72.636815920398,27.36318407960199,CONDITION,0.28
400b0f,rflags,42506899,1788,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,60.052693,72.636815920398,27.36318407960199,CONDITION,0.4117647058823529
400bef,rflags,42520941,1444,masked,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%esi",1,0,60.072551,72.636815920398,27.36318407960199,INTEGER,0.36363636363636365
400ddb,rax,42549654,1935,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,60.113155,73.13432835820896,26.86567164179105,CONDITION,0.28
400ddb,rdx,42565699,1791,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,60.135846,73.13432835820896,26.86567164179105,CONDITION,0.28
400ef8,rcx,42579057,663,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020c0(,%rdx,4),%edx",1,0,60.154736,73.6318407960199,26.3681592039801,DATAXFER,0.291970802919708
400b19,rdx,42584354,2041,crash,<_Z7runTestiPPc._omp_fn.0>,add,"add, (%rdi),%ecx",0,1,60.162227,73.6318407960199,26.3681592039801,INTEGER,0.265625
400b00,rsi,42606165,2708,crash,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",0,1,60.193071,73.13432835820896,26.86567164179105,INTEGER,0.29508196721311475
400b00,rsi,42610841,1266,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,60.199683,73.13432835820896,26.86567164179105,INTEGER,0.29508196721311475
400ef8,rcx,42648489,1499,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020c0(,%rdx,4),%edx",1,0,60.252924,73.13432835820896,26.86567164179105,DATAXFER,0.291970802919708
400bf8,rax,42649014,151,crash,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r10,4),%esi",0,1,60.253666,73.13432835820896,26.86567164179105,DATAXFER,0.19642857142857142
400bed,rax,42654047,1574,crash,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, (%rcx),%edi",0,1,60.260784,73.13432835820896,26.86567164179105,DATAXFER,0.33962264150943394
400abc,rflags,42767504,2027,masked,<_Z7runTestiPPc._omp_fn.0>,lea,"lea, -0x4(,%rsi,4),%r9",1,0,60.42123,73.6318407960199,26.3681592039801,INTEGER,0.0
400b0d,rsi,42767504,2027,masked,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",1,0,60.42123,73.6318407960199,26.3681592039801,INTEGER,0.203125
400b20,rdi,42819097,40,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdi",1,0,60.49419,73.6318407960199,26.3681592039801,INTEGER,0.45901639344262296
400ddb,rdx,42831959,1202,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,60.512379,73.6318407960199,26.3681592039801,CONDITION,0.28
400bfd,rflags,42912317,624,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, (%r8),%esi",1,0,60.626018,74.12935323383084,25.870646766169155,INTEGER,0.26
400c08,rflags,42923157,174,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%r8",1,0,60.641348,74.12935323383084,25.870646766169155,INTEGER,0.43137254901960786
400b0d,rflags,42937809,1217,masked,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",1,0,60.662068,74.12935323383084,25.870646766169155,INTEGER,0.203125
400ddb,rflags,42950151,2104,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,60.679522,74.12935323383084,25.870646766169155,CONDITION,0.28
400b19,rdx,43001019,1159,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, (%rdi),%ecx",1,0,60.751457,74.12935323383084,25.870646766169155,INTEGER,0.265625
400c05,rflags,43018369,2832,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, $0x1,%edx",1,0,60.775993,74.6268656716418,25.37313432835821,INTEGER,0.2028985507246377
400dd7,rflags,43041929,2702,masked,<_Z7runTestiPPc>,add,"add, $0x1,%rax",1,0,60.80931,74.12935323383084,25.870646766169155,INTEGER,0.30864197530864196
400b26,rdi,43064593,2691,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, %r9,%rdx",1,0,60.841361,74.12935323383084,25.870646766169155,INTEGER,0.2962962962962963
400e32,rcx,43069086,1719,masked,<_Z7runTestiPPc>,mov,"mov, %ecx,%eax",1,0,60.847715,74.12935323383084,25.870646766169155,DATAXFER,0.0
400bef,rsi,43083019,220,masked,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%esi",1,0,60.867418,73.6318407960199,26.3681592039801,INTEGER,0.36363636363636365
400b0f,rcx,43097438,2523,masked,<_Z7runTestiPPc._omp_fn.0>,cmp,"cmp, %ecx,%esi",1,0,60.887809,73.13432835820896,26.86567164179105,CONDITION,0.4117647058823529
400ef0,rsi,43141455,1609,crash,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",0,1,60.950056,73.13432835820896,26.86567164179105,DATAXFER,0.34673366834170855
400ddb,rdx,43178841,1193,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,61.002926,73.13432835820896,26.86567164179105,CONDITION,0.28
400b14,rdi,43252674,1356,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r10,4),%ecx",1,0,61.107337,73.13432835820896,26.86567164179105,DATAXFER,0.4375
400b00,rax,43274528,79,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,61.138242,73.13432835820896,26.86567164179105,INTEGER,0.29508196721311475
400bf3,r8,43314908,2133,masked,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",1,0,61.195346,72.636815920398,27.36318407960199,CONDITION,0.30434782608695654
400c02,rflags,43322308,353,masked,<_Z7runTestiPPc._omp_fn.1>,cmovge,"cmovge, %edi,%esi",1,0,61.205811,72.636815920398,27.36318407960199,UnKnown,0.36363636363636365
400ef5,rflags,43464724,170,masked,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",1,0,61.40721,72.636815920398,27.36318407960199,INTEGER,0.3141025641025641
400b0d,rdx,43511181,735,masked,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",1,0,61.472907,73.13432835820896,26.86567164179105,INTEGER,0.203125
400ef5,rcx,43514164,978,crash,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",0,1,61.477126,73.13432835820896,26.86567164179105,INTEGER,0.3141025641025641
400bf8,rdx,43533271,284,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r10,4),%esi",1,0,61.504146,73.13432835820896,26.86567164179105,DATAXFER,0.19642857142857142
400b00,rdx,43553404,2108,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,61.532617,73.13432835820896,26.86567164179105,INTEGER,0.29508196721311475
400f07,rflags,43571659,2162,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,61.558433,73.13432835820896,26.86567164179105,CONDITION,0.3795180722891566
400ef5,rflags,43572430,1235,crash,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",0,1,61.559523,72.636815920398,27.36318407960199,INTEGER,0.3141025641025641
400b19,rsi,43574210,1455,crash,<_Z7runTestiPPc._omp_fn.0>,add,"add, (%rdi),%ecx",0,1,61.56204,72.636815920398,27.36318407960199,INTEGER,0.265625
400bed,rdx,43611806,1149,crash,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, (%rcx),%edi",0,1,61.615207,72.13930348258707,27.860696517412936,DATAXFER,0.33962264150943394
400c08,rflags,43641030,1962,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%r8",1,0,61.656534,71.64179104477611,28.35820895522388,INTEGER,0.43137254901960786
400b04,rax,43662026,1105,crash,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r11,4),%ecx",0,1,61.686226,72.13930348258707,27.860696517412936,DATAXFER,0.2830188679245283
400bf8,rax,43686644,1143,crash,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r10,4),%esi",0,1,61.72104,71.64179104477611,28.35820895522388,DATAXFER,0.19642857142857142
