IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%,INS_type,Unnamed: 17,0x4209bb,CrashOnSameIP
42be91,r10,387573756,2935,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,79.614644,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.0
42be8c,xmm13,387684584,4175,sdc,<HPL_lmul>,mov,"mov, -0x4(%rax),%ebx",0,0,1,79.637411,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.0
42be27,,387697113,559,masked,<HPL_ladd>,mov,"mov, %r8d,%esi",1,0,0,79.639984,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.0
420abc,r10,387713057,7902,masked,<HPL_rand>,addsd,"addsd, %xmm0,%xmm1",1,0,0,79.64326,26.3681592,7.960199005,65.67164179,92.039801,FP,,,0.0
42be7e,rcx,387771534,447,sdc,<HPL_lmul>,shr,"shr, $0x10,%r11d",0,0,1,79.655272,26.3681592,7.960199005,65.67164179,92.039801,SHIFT,,,0.0
42be63,rdi,387790752,9186,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,79.65922,26.3681592,7.960199005,65.67164179,92.039801,DATAXFER,,,0.0
42bdd8,r11,387820766,7134,sdc,<HPL_ladd>,mov,"mov, 0x4(%rdi),%esi",0,0,1,79.665385,26.86567164,7.960199005,65.17412935,92.039801,DATAXFER,,,0.0
42beb8,rsi,387872767,7740,masked,<HPL_lmul>,imul,"imul, %r11d,%ebx",1,0,0,79.676067,27.36318408,7.960199005,64.67661692,92.039801,INTEGER,,,0.0
42bed4,xmm14,387887504,3359,sdc,<HPL_lmul>,imul,"imul, %r10d,%ebx",0,0,1,79.679095,27.36318408,7.960199005,64.67661692,92.039801,INTEGER,,,0.0
420aa5,,387940993,4106,sdc,<HPL_rand>,shr,"shr, $0x10,%eax",0,0,1,79.690082,27.36318408,7.960199005,64.67661692,92.039801,SHIFT,,,0.0
42be9d,rax,388014234,4814,sdc,<HPL_lmul>,imul,"imul, %r9d,%ebx",0,0,1,79.705128,27.36318408,7.960199005,64.67661692,92.039801,INTEGER,,,0.0
420aa8,xmm0,388077094,12807,masked,<HPL_rand>,cvtsi2sd,"cvtsi2sd, %ecx,%xmm1",1,0,0,79.71804,27.36318408,7.960199005,64.67661692,92.039801,CONVERT,,,0.0
42bead,rdi,388094270,5344,sdc,<HPL_lmul>,test,"test, %ecx,%ecx",0,0,1,79.721569,26.86567164,7.960199005,65.17412935,92.039801,CONDITION,,,0.0
42be2e,,388119215,10264,masked,<HPL_ladd>,shr,"shr, $0x10,%esi",1,0,0,79.726693,26.86567164,8.457711443,64.67661692,91.54228856,SHIFT,,,0.0
42bed8,rflags,388129817,2723,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,79.728871,26.3681592,8.457711443,65.17412935,91.54228856,INTEGER,,,0.0
42be2e,rdi,388152421,2968,masked,<HPL_ladd>,shr,"shr, $0x10,%esi",1,0,0,79.733514,26.3681592,8.955223881,64.67661692,91.04477612,SHIFT,,,0.0
42bdd5,r9,388164431,6398,sdc,<HPL_ladd>,mov,"mov, 0x4(%rsi),%eax",0,0,1,79.735981,25.87064677,8.955223881,65.17412935,91.04477612,DATAXFER,,,0.0
420b7e,rax,388170639,1355,crash,<HPL_setran>,mov,"mov, $0xe54938,%edx",0,1,0,79.737256,25.87064677,8.955223881,65.17412935,91.04477612,DATAXFER,,,0.5555555555555556
42be8c,xmm13,388173068,10768,sdc,<HPL_lmul>,mov,"mov, -0x4(%rax),%ebx",0,0,1,79.737755,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42beb5,rdi,388186867,3317,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,79.74059,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42bdf1,rbx,388189873,13014,masked,<HPL_ladd>,mov,"mov, %r8d,%r9d",1,0,0,79.741207,26.3681592,8.457711443,65.17412935,91.54228856,DATAXFER,,,0.0
420a8c,rbx,388197663,7372,sdc,<HPL_rand>,mov,"mov, 0x4(%rsp),%eax",0,0,1,79.742808,26.3681592,8.457711443,65.17412935,91.54228856,DATAXFER,,,0.0
42bea3,,388248196,1578,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,79.753188,25.87064677,8.457711443,65.67164179,91.54228856,DATAXFER,,,0.0
42bf27,rbx,388262082,6391,sdc,<HPL_lmul>,or,"or, %r10d,%r8d",0,0,1,79.756041,25.87064677,8.457711443,65.67164179,91.54228856,LOGICAL,,,0.0
42be94,rdi,388400063,4745,sdc,<HPL_lmul>,mov,"mov, -0x30(%rsp,%rcx,4),%ebx",0,0,1,79.784385,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.0
42be36,r15,388438218,9360,sdc,<HPL_ladd>,or,"or, %edi,%eax",0,0,1,79.792223,25.37313433,8.457711443,66.16915423,91.54228856,LOGICAL,,,0.0
42be98,rcx,388438729,7970,masked,<HPL_lmul>,shr,"shr, $0x10,%edi",1,0,0,79.792328,25.37313433,8.457711443,66.16915423,91.54228856,SHIFT,,,0.0
42bec8,r10,388474831,4899,sdc,<HPL_lmul>,cmp,"cmp, $0x1,%ecx",0,0,1,79.799744,24.87562189,8.457711443,66.66666667,91.54228856,CONDITION,,,0.0
42be91,xmm1,388549158,10301,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,79.815012,24.87562189,8.457711443,66.66666667,91.54228856,DATAXFER,,,0.0
42bdd0,rax,388571775,6171,sdc,<HPL_ladd>,mov,"mov, (%rsi),%ecx",0,0,1,79.819658,24.87562189,7.960199005,67.1641791,92.039801,DATAXFER,,,0.0
42be16,xmm1,388579561,5858,sdc,<HPL_ladd>,movzwl,"movzwl, %si,%r8d",0,0,1,79.821258,24.87562189,7.462686567,67.66169154,92.53731343,DATAXFER,,,0.0
42bea1,r8,388695362,7562,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,79.845045,24.87562189,6.965174129,68.15920398,93.03482587,INTEGER,,,0.0
