IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
40140d,rdx,96136853,1786,masked,<find_nearest_point>,mov,"mov, (%rdx,%r10,8),%r9",1,0,43.371409,82.58706467661692,17.412935323383085,DATAXFER,0.17391304347826086
401500,rflags,96136853,1786,masked,<kmeans_clustering._omp_fn.0>,mov,"mov, (%r12),%rbp",1,0,43.371409,82.58706467661692,17.412935323383085,DATAXFER,0.25
401430,r8,96408908,411,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,43.495552,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
401430,xmm0,97183774,461,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,43.849137,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
401430,rflags,97183774,461,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,43.849137,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
40142c,xmm0,97183774,461,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,43.849137,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
40142c,rax,97183774,461,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,43.849137,82.58706467661692,17.412935323383085,INTEGER,0.22133333333333333
40142c,xmm0,97461382,374,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,43.975815,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
40142c,rflags,97461382,374,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,43.975815,82.58706467661692,17.412935323383085,INTEGER,0.22133333333333333
40142c,xmm0,97461382,374,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,43.975815,83.58208955223881,16.417910447761194,INTEGER,0.22133333333333333
40156c,r8,97461382,374,crash,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",0,1,43.975815,83.08457711442786,16.915422885572138,CONDITION,0.136986301369863
401430,r8,98120857,25,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.276745,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
401430,r8,98120857,25,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.276745,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
40144c,r8,98120857,25,masked,<find_nearest_point>,cmp,"cmp, %r10d,%ecx",1,0,44.276745,83.58208955223881,16.417910447761194,CONDITION,0.25
401568,xmm0,98509086,256,masked,<kmeans_clustering._omp_fn.0>,add,"add, $0x1,%rax",1,0,44.453901,82.08955223880596,17.91044776119403,INTEGER,0.1864406779661017
40142c,xmm1,98509086,256,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.453901,82.58706467661692,17.412935323383085,INTEGER,0.22133333333333333
40142c,r8,98509086,256,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.453901,82.58706467661692,17.412935323383085,INTEGER,0.22133333333333333
401430,xmm1,98509086,256,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.453901,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
401430,r8,98509086,256,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.453901,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
40142c,rflags,98509086,256,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.453901,82.58706467661692,17.412935323383085,INTEGER,0.22133333333333333
401430,xmm0,98509086,256,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.453901,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
401430,xmm0,98509086,256,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.453901,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
40142c,r8,98700694,226,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.541335,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
401433,r8,98700694,226,masked,<find_nearest_point>,mulss,"mulss, %xmm0,%xmm0",1,0,44.541335,83.08457711442786,16.915422885572138,FP,0.15384615384615385
40142c,rflags,98700694,226,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.541335,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
40142c,rax,99067246,580,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.708599,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
40142c,xmm0,99093180,14,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,44.720433,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
401430,xmm0,99093180,14,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.720433,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
401430,xmm1,99093180,14,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.720433,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
40156c,rflags,99093180,14,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,44.720433,83.08457711442786,16.915422885572138,CONDITION,0.136986301369863
401430,r8,99093180,14,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,44.720433,82.58706467661692,17.412935323383085,CONDITION,0.19310344827586207
40142c,r8,100161363,63,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,45.207864,83.08457711442786,16.915422885572138,INTEGER,0.22133333333333333
4011c1,xmm0,100201717,530,masked,<main>,mov,"mov, %rax,%rdi",1,0,45.226278,83.58208955223881,16.417910447761194,DATAXFER,0.0
401430,r8,101105643,405,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,45.638756,83.58208955223881,16.417910447761194,CONDITION,0.19310344827586207
40142c,r8,101619186,492,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,45.873094,83.58208955223881,16.417910447761194,INTEGER,0.22133333333333333
40142c,rflags,101950302,257,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.024188,83.58208955223881,16.417910447761194,INTEGER,0.22133333333333333
40142c,rax,102025725,450,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.058605,83.58208955223881,16.417910447761194,INTEGER,0.22133333333333333
40142c,xmm0,102286436,41,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.177572,84.07960199004975,15.92039800995025,INTEGER,0.22133333333333333
40142c,r11,102286436,41,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.177572,84.07960199004975,15.92039800995025,INTEGER,0.22133333333333333
40156c,rflags,102286436,41,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,46.177572,83.58208955223881,16.417910447761194,CONDITION,0.136986301369863
401433,rflags,102286436,41,masked,<find_nearest_point>,mulss,"mulss, %xmm0,%xmm0",1,0,46.177572,84.07960199004975,15.92039800995025,FP,0.15384615384615385
401430,rflags,102489536,163,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,46.27025,83.58208955223881,16.417910447761194,CONDITION,0.19310344827586207
401430,r9,102489536,163,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,46.27025,83.58208955223881,16.417910447761194,CONDITION,0.19310344827586207
401430,rflags,102489536,163,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,46.27025,83.58208955223881,16.417910447761194,CONDITION,0.19310344827586207
40142c,r11,102694214,432,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.363649,82.08955223880596,17.91044776119403,INTEGER,0.22133333333333333
40156c,rsi,102694214,432,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,46.363649,82.58706467661692,17.412935323383085,CONDITION,0.136986301369863
401430,rax,102694214,432,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,46.363649,83.08457711442786,16.915422885572138,CONDITION,0.19310344827586207
40144c,rdx,102694214,432,crash,<find_nearest_point>,cmp,"cmp, %r10d,%ecx",0,1,46.363649,82.08955223880596,17.91044776119403,CONDITION,0.25
401445,r8,103353491,1046,masked,<find_nearest_point>,mov,"mov, %r11d,%eax",1,0,46.664488,82.08955223880596,17.91044776119403,DATAXFER,0.0
40142c,rax,103962567,543,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,46.94242,81.59203980099502,18.40796019900497,INTEGER,0.22133333333333333
40142c,xmm0,104102083,569,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,47.006084,81.59203980099502,18.40796019900497,INTEGER,0.22133333333333333
401426,r8,105141606,490,crash,<find_nearest_point>,subss,"subss, (%r9,%r8,4),%xmm0",0,1,47.480437,81.59203980099502,18.40796019900497,FP,0.24444444444444444
40156c,rdi,105202101,562,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,47.508042,81.09452736318408,18.90547263681592,CONDITION,0.136986301369863
401430,rflags,105288746,399,crash,<find_nearest_point>,cmp,"cmp, %r8d,%esi",0,1,47.547579,80.59701492537313,19.402985074626866,CONDITION,0.19310344827586207
401568,rdi,105600341,352,crash,<kmeans_clustering._omp_fn.0>,add,"add, $0x1,%rax",0,1,47.689766,80.09950248756219,19.90049751243781,INTEGER,0.1864406779661017
401437,rflags,105968419,97,masked,<find_nearest_point>,addss,"addss, %xmm0,%xmm1",1,0,47.857726,79.60199004975124,20.39800995024876,FP,0.21739130434782608
401416,xmm0,105968419,97,masked,<find_nearest_point>,xor,"xor, %r8d,%r8d",1,0,47.857726,78.60696517412936,21.393034825870647,LOGICAL,0.14285714285714285
401433,r8,105968419,97,masked,<find_nearest_point>,mulss,"mulss, %xmm0,%xmm0",1,0,47.857726,78.60696517412936,21.393034825870647,FP,0.15384615384615385
401430,xmm0,105968419,97,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,47.857726,79.1044776119403,20.895522388059703,CONDITION,0.19310344827586207
40154f,xmm1,105968419,97,masked,<kmeans_clustering._omp_fn.0>,xor,"xor, %eax,%eax",1,0,47.857726,78.60696517412936,21.393034825870647,LOGICAL,0.0
40142c,xmm0,105968419,97,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,47.857726,79.1044776119403,20.895522388059703,INTEGER,0.22133333333333333
401430,rflags,105968419,97,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,47.857726,79.1044776119403,20.895522388059703,CONDITION,0.19310344827586207
401430,r11,106021979,418,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,47.882167,79.60199004975124,20.39800995024876,CONDITION,0.19310344827586207
40156c,rdx,106021979,418,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,47.882167,79.60199004975124,20.39800995024876,CONDITION,0.136986301369863
40142c,rsi,106021979,418,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,47.882167,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
40156c,rdx,106021979,418,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,47.882167,79.60199004975124,20.39800995024876,CONDITION,0.136986301369863
40142c,rdx,106021979,418,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,47.882167,79.1044776119403,20.895522388059703,INTEGER,0.22133333333333333
401430,rdx,106021979,418,masked,<find_nearest_point>,cmp,"cmp, %r8d,%esi",1,0,47.882167,79.60199004975124,20.39800995024876,CONDITION,0.19310344827586207
40142c,r11,106021979,418,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,47.882167,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
40142c,r11,106021979,418,crash,<find_nearest_point>,add,"add, $0x1,%r8",0,1,47.882167,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
40140d,rbp,106021979,418,crash,<find_nearest_point>,mov,"mov, (%rdx,%r10,8),%r9",0,1,47.882167,79.60199004975124,20.39800995024876,DATAXFER,0.17391304347826086
40150a,rdi,106021979,418,masked,<kmeans_clustering._omp_fn.0>,mov,"mov, 0x10(%rsp),%rdx",1,0,47.882167,79.60199004975124,20.39800995024876,DATAXFER,0.0
40142c,rax,106738377,269,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,48.209072,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
40142c,xmm1,106738377,269,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,48.209072,79.60199004975124,20.39800995024876,INTEGER,0.22133333333333333
401508,r8,106738377,269,masked,<kmeans_clustering._omp_fn.0>,mov,"mov, %ebx,%esi",1,0,48.209072,79.1044776119403,20.895522388059703,DATAXFER,0.1
40156c,rflags,106820522,572,masked,<kmeans_clustering._omp_fn.0>,cmp,"cmp, %eax,%ebx",1,0,48.246556,80.09950248756219,19.90049751243781,CONDITION,0.136986301369863
40155d,rflags,106905886,238,masked,<kmeans_clustering._omp_fn.0>,addss,"addss, 0x0(%rbp,%rax,4),%xmm0",1,0,48.285509,80.09950248756219,19.90049751243781,FP,0.2857142857142857
40142c,r8,107283030,124,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,48.457606,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
40142c,xmm0,107935715,46,masked,<find_nearest_point>,add,"add, $0x1,%r8",1,0,48.755438,80.09950248756219,19.90049751243781,INTEGER,0.22133333333333333
401568,r8,108077528,230,masked,<kmeans_clustering._omp_fn.0>,add,"add, $0x1,%rax",1,0,48.82015,80.09950248756219,19.90049751243781,INTEGER,0.1864406779661017
