IP,CrashOnSameIP
0x420a90,0.0
0x420a98,0.0
0x420a9b,0.0
0x420a9e,0.0
0x420aa2,0.0
0x420aa5,0.0
0x420aa8,0.0
0x420aac,0.0
0x420ab0,0.0
0x420ab4,0.0
0x420ab8,0.0
0x420abc,0.0
0x420ac0,0.0
0x420ac8,0.9838709677419355
0x420acc,0.0
0x420ad0,0.0
0x420ad4,0.0
0x420ad8,0.0
0x420adc,0.0
0x420ae0,0.0
0x420ae4,0.0
0x420af0,0.0
0x420b10,0.0
0x420b50,1.0
0x420b54,0.0
0x420b5b,0.40425531914893614
0x420b60,0.6326530612244898
0x420b66,0.0
0x420b71,0.30612244897959184
0x420b7b,0.6458333333333334
0x420b7e,0.5555555555555556
0x420b83,0.32142857142857145
0x420b8d,0.9791666666666666
0x42bdd0,0.0
0x42bdd2,0.0
0x42bdd5,0.0
0x42bdd8,0.0
0x42bddb,0.0
0x42bddf,0.0
0x42bde3,0.0
0x42bde6,0.0
0x42bde9,0.0
0x42bded,0.0
0x42bdf1,0.0
0x42bdf4,0.0
0x42bdf8,0.0
0x42bdfc,0.0
0x42bdff,0.0
0x42be02,0.0
0x42be06,0.0
0x42be09,0.0
0x42be0c,0.0
0x42be10,0.0
0x42be13,0.0
0x42be16,0.0
0x42be1a,0.0
0x42be1d,0.0
0x42be20,0.0
0x42be24,0.0
0x42be27,0.0
0x42be2a,0.0
0x42be2e,0.0
0x42be31,0.0
0x42be33,0.0
0x42be36,0.0
0x42be40,1.0
0x42be41,0.0
0x42be43,0.0
0x42be47,0.0
0x42be4a,0.0
0x42be55,0.0
0x42be58,0.0
0x42be5b,0.0
0x42be5f,0.0
0x42be63,0.0
0x42be6a,0.0
0x42be6d,0.0
0x42be71,0.0
0x42be75,0.6304347826086957
0x42be7e,0.0
0x42be8a,0.9074074074074074
0x42be8c,0.0
0x42be8f,0.0
0x42be91,0.0
0x42be94,0.0
0x42be98,0.0
0x42be9d,0.0
0x42bea1,0.0
0x42bea3,0.0
0x42bea8,0.0
