IP,CrashOnSameIP
0x40f883,0.0
0x40f887,0.0
0x40f88b,0.0
0x40f893,0.0
0x40f89b,0.0
0x40f89f,0.0
0x40f8a3,0.0
0x40f8a7,0.0
0x40f8ab,0.0
0x40f8b4,0.0
0x40f8bd,0.0
0x40f8c6,0.0
0x40f8ce,0.0
0x40f8d7,0.25
0x40f8dc,0.0
0x40f8e0,0.0
0x40f8e5,0.0
0x40f8e9,0.0
0x40f8f8,0.0
0x40f902,0.0
0x40f906,0.0
0x40f90b,0.0
0x40f910,0.3333333333333333
0x40f914,0.0
0x40f918,0.5
0x40f91d,0.0
0x40f922,0.0
0x40f927,0.0
0x40f92c,0.0
0x40f931,0.0
0x40f935,0.0
0x40f939,0.0
0x40f93e,0.0
0x40f942,0.0
0x40f947,0.0
0x40f950,0.0
0x40f955,0.0
0x40f95f,0.2
0x40f986,1.0
0x40f989,1.0
0x40f991,1.0
0x40f9a9,0.0
0x40f9c7,0.9090909090909091
0x40f9e5,0.0
0x40f9f2,0.0
0x40fa23,0.6666666666666666
0x40fa2d,1.0
0x40fa32,0.0
0x40fa3c,0.5
0x40fa42,1.0
0x40fa47,1.0
0x40fa4a,0.0
0x40fa54,0.0
0x40fa58,0.0
0x40fa5d,1.0
0x40fa62,0.5
0x40fa6a,1.0
0x40fa6d,1.0
0x40fa7a,0.0
0x40fa7f,0.8
0x40fa86,0.0
0x40fa90,0.0
0x40fa92,0.0
0x40fa98,0.0
0x40faa2,0.0
0x40fab6,0.0
0x40fac0,0.0
0x40faca,0.0
0x40fad3,0.0
0x40fadc,0.0
0x40fae8,0.043478260869565216
0x40faed,1.0
0x40faf1,0.0
0x40faf7,0.037037037037037035
0x40fafb,0.047619047619047616
0x40fb01,0.0
0x40fb06,0.0
0x40fb0b,0.0
0x40fb10,0.0
0x40fb15,0.058823529411764705
0x40fb1a,0.0
0x40fb1f,0.0
0x40fb24,0.0
0x40fb29,0.0
0x40fb2d,0.058823529411764705
0x40fb38,0.10526315789473684
0x40fb3c,0.0
0x40fb40,0.0
0x40fb45,0.0
0x40fb49,0.043478260869565216
0x40fb4e,0.0
0x40fb53,0.0
0x40fb57,0.06060606060606061
0x40fb5c,0.08
0x40fb60,0.0
0x40fb77,0.7307692307692307
0x40fb7b,0.09090909090909091
0x40fb8e,0.5
0x40fb9b,0.0
0x40fba4,0.3333333333333333
0x40fbac,0.0
0x40fbb5,0.5
0x40fbb8,0.6
0x40fbc0,0.034482758620689655
0x40fbc5,0.7777777777777778
0x40fbca,0.1111111111111111
0x40fbcf,0.17647058823529413
0x40fbd3,0.0
0x40fbd7,0.09523809523809523
0x40fbdb,0.0
0x40fbdf,0.0
0x40fbe3,0.0
0x40fbe8,0.0
0x40fbec,0.0
0x40fbf0,0.043478260869565216
0x40fbf4,0.0
0x40fc04,0.0
0x40fc09,0.6190476190476191
0x40fc0e,0.17647058823529413
0x40fc12,0.0
0x40fc17,0.0
0x40fc1b,0.0
0x40fc1f,0.0
0x40fc23,0.0
0x40fc28,0.05263157894736842
0x40fc2c,0.0
0x40fc30,0.0
0x40fc34,0.0
0x40fc3e,0.0
0x40fc42,0.09090909090909091
0x40fc4c,0.0
0x40fc51,0.6666666666666666
0x40fc56,0.0
0x40fc5a,0.0
0x40fc5f,0.0
0x40fc63,0.0
0x40fc67,0.09090909090909091
0x40fc6b,0.0
0x40fc70,0.0
0x40fc74,0.0
0x40fc78,0.0
0x40fc7c,0.0
0x40fc86,0.0
0x40fc8a,0.0
0x40fc94,0.0
0x40fc99,0.7777777777777778
0x40fc9e,0.2222222222222222
0x40fca2,0.0
0x40fca7,0.1
0x40fcab,0.0
0x40fcaf,0.0
0x40fcb3,0.07142857142857142
0x40fcb8,0.0
0x40fcbc,0.0
0x40fcc0,0.0
0x40fcc4,0.06666666666666667
0x40fcce,0.0
0x40fcd2,0.0
0x40fcdc,0.0
0x40fce1,0.7272727272727273
0x40fce6,0.16666666666666666
0x40fcea,0.0
0x40fcef,0.0
0x40fcf3,0.0
0x40fcf7,0.0
0x40fcfb,0.0
0x40fd00,0.0
0x40fd04,0.08333333333333333
0x40fd08,0.0
0x40fd0c,0.0
0x40fd16,0.0
0x40fd1a,0.0
0x40fd24,0.0
0x40fd29,0.7272727272727273
0x40fd2e,0.0
0x40fd31,0.0
0x40fd36,0.5
0x40fd3a,0.25
0x40fd3e,0.5
0x40fd42,0.0
0x40fd46,0.0
0x40fd4b,0.16666666666666666
0x40fd4f,0.0
0x40fd53,0.0
0x40fd57,0.0
0x40fd6c,0.5
0x40fd71,1.0
0x40fd74,0.0
0x40fd78,0.0
0x40fd7c,0.0
0x40fd80,0.0
0x40fd84,0.0
0x40fd88,0.0
0x40fd90,0.9565217391304348
0x40fd94,0.8235294117647058
0x40fd98,0.6538461538461539
0x40fd9c,0.5714285714285714
0x40fda0,0.034482758620689655
0x40fda4,0.7619047619047619
0x40fda7,0.0
0x40fdab,0.8461538461538461
0x40fdaf,0.13636363636363635
0x40fdb3,0.09090909090909091
0x40fdb7,0.7222222222222222
0x40fdbc,0.0
0x40fdc0,0.0
0x40fdc4,0.038461538461538464
0x40fdc8,0.08695652173913043
0x40fdcc,0.0
0x40fdd0,0.0
0x40fdd4,0.0
0x40fdd8,0.0
0x40fddc,0.0
0x40fde0,0.0
0x40fdf0,1.0
0x40fdf4,1.0
0x40fdfe,0.0
0x40fe10,0.5625
0x40fe20,0.0
0x40fe30,1.0
0x40fe34,0.5
0x40fe3b,0.5
0x40fe53,0.5
0x40fe5e,1.0
0x40fe66,1.0
0x40fe69,1.0
0x40feb0,0.0
0x40feb4,1.0
0x40feb6,0.0
0x40febb,0.2
0x40fec0,0.0
0x40fec4,0.0
0x40fec8,0.0
0x40fecd,0.0
0x40fed1,0.0
0x40fee0,0.047619047619047616
0x40fee5,0.0
0x40feea,0.047619047619047616
0x40feee,0.0
0x40fef4,0.05
0x40fef9,0.043478260869565216
0x40fefd,0.0
0x40ff02,0.0
0x40ff06,0.0
0x40ff0a,0.047619047619047616
0x40ff0f,0.04
0x40ff15,0.03125
0x40ff19,0.0
0x40ff1d,0.0
0x40ff23,0.07407407407407407
0x40ff28,0.0
0x40ff2d,0.0
0x40ff32,0.0
0x40ff37,0.0625
0x40ff3b,0.05263157894736842
0x40ff40,0.0
0x40ff44,0.0
0x40ff4a,1.0
0x40ff4e,0.04
0x40ff52,0.2631578947368421
0x40ff56,0.0
0x40ff5a,0.0
0x40ff5e,0.0
0x40ff63,0.05555555555555555
0x40ff68,0.03225806451612903
0x40ff72,0.0
0x40ff7a,0.0
0x40ff82,0.0
0x40ff87,0.0
