IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400cb0,rflags,294507338,746,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,93.069718,83.08457711,16.91542289,CONDITION
400cdb,rax,294510470,4520,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,93.070708,82.58706468,17.41293532,DATAXFER
400cf0,r8,294581295,317,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,93.093091,83.08457711,16.91542289,DATAXFER
400cb2,r9,294816004,3534,crash,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",0,1,93.167265,83.08457711,16.91542289,INTEGER
400cdf,rflags,294892643,331,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,93.191485,83.08457711,16.91542289,CONDITION
400cba,rdx,294945706,1414,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.208254,82.58706468,17.41293532,DATAXFER
400cb2,r9,295019116,4428,crash,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",0,1,93.231454,82.58706468,17.41293532,INTEGER
400cdb,rax,295143851,3705,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,93.270873,82.58706468,17.41293532,DATAXFER
400cd6,rflags,295242628,2934,masked,<_Z3runiPPc>,cmp,"cmp, %r8d,%esi",1,0,93.30209,82.58706468,17.41293532,CONDITION
400cb0,rflags,295266821,3791,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,93.309735,83.08457711,16.91542289,CONDITION
400cba,rdx,295326098,1424,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.328468,82.58706468,17.41293532,DATAXFER
400cdf,rflags,295333874,2707,crash,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",0,1,93.330926,83.08457711,16.91542289,CONDITION
400cf0,r8,295341071,57,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,93.3332,82.58706468,17.41293532,DATAXFER
400cc7,rdx,295366215,1953,masked,<_Z3runiPPc>,cmovg,"cmovg, %r10d,%edx",1,0,93.341146,82.58706468,17.41293532,UnKnown
400cb0,rflags,295456394,1668,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,93.369645,83.08457711,16.91542289,CONDITION
400cdb,rax,295482205,4695,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,93.377802,83.08457711,16.91542289,DATAXFER
400cb2,r9,295521016,3005,crash,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",0,1,93.390068,83.08457711,16.91542289,INTEGER
400cba,rdx,295632847,162,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.425409,83.58208955,16.41791045,DATAXFER
400cdb,rax,295702676,845,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,93.447477,83.58208955,16.41791045,DATAXFER
400cc4,rflags,295742900,4970,masked,<_Z3runiPPc>,cmp,"cmp, %r10d,%edx",1,0,93.460189,83.58208955,16.41791045,CONDITION
400cdf,rflags,295746096,4159,masked,<_Z3runiPPc>,cmp,"cmp, %eax,%edx",1,0,93.461199,84.07960199,15.92039801,CONDITION
400cd2,r8,295800191,1000,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,93.478294,84.07960199,15.92039801,INTEGER
400cbf,r10,295818839,1337,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,93.484188,84.07960199,15.92039801,DATAXFER
400ccb,rax,295829104,4757,crash,<_Z3runiPPc>,mov,"mov, %rcx,%rax",0,1,93.487432,84.07960199,15.92039801,DATAXFER
400cba,rdx,295831941,313,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.488328,84.07960199,15.92039801,DATAXFER
400cb0,rflags,296123464,1039,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,93.580457,84.07960199,15.92039801,CONDITION
400cbf,r10,296179436,674,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,93.598146,84.07960199,15.92039801,DATAXFER
400cb0,rflags,296185387,1941,masked,<_Z3runiPPc>,test,"test, %esi,%esi",1,0,93.600026,84.07960199,15.92039801,CONDITION
400cbf,r10,296196923,4525,masked,<_Z3runiPPc>,mov,"mov, -0x4(%rbx,%rcx,4),%r10d",1,0,93.603672,84.07960199,15.92039801,DATAXFER
400cdb,rax,296282737,89,masked,<_Z3runiPPc>,mov,"mov, 0x4(%rbx,%rax,4),%eax",1,0,93.630792,84.57711443,15.42288557,DATAXFER
400cd2,r8,296338810,4789,masked,<_Z3runiPPc>,sub,"sub, $0x1,%r8d",1,0,93.648512,85.07462687,14.92537313,INTEGER
400cf7,rflags,296364726,771,masked,<_Z3runiPPc>,cmp,"cmp, %esi,%r8d",1,0,93.656702,85.07462687,14.92537313,CONDITION
400cb2,r9,296422576,1693,masked,<_Z3runiPPc>,lea,"lea, 0x0(,%rcx,4),%r9",1,0,93.674984,85.5721393,14.4278607,INTEGER
400cba,rdx,296557613,4179,masked,<_Z3runiPPc>,mov,"mov, (%rbx,%rcx,4),%edx",1,0,93.71766,85.5721393,14.4278607,DATAXFER
400cf0,r8,296591393,14,masked,<_Z3runiPPc>,mov,"mov, 0x2013d1(%rip),%r8d",1,0,93.728335,85.07462687,14.92537313,DATAXFER
400ce1,rdx,296693798,375,masked,<_Z3runiPPc>,cmovg,"cmovg, %eax,%edx",1,0,93.760698,85.5721393,14.4278607,UnKnown
