IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400bbf,rdx,201915,717,masked,<main>,add,"add, $0x40,%rdx",1,0,44.70992,81.59203980099502,18.40796019900497,INTEGER
400afa,rbx,201949,3449,crash,<main>,mov,"mov, %eax,%ebx",0,1,44.717452,81.59203980099502,18.40796019900497,DATAXFER
400ba3,xmm0,201987,675,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,44.72587,81.59203980099502,18.40796019900497,UnKnown
400bf0,r13,202206,2391,masked,<main>,add,"add, $0x31,%r13",1,0,44.774387,81.09452736318408,18.90547263681592,INTEGER
400b29,rdi,202223,4577,masked,<main>,mov,"mov, %r14,%rdi",1,0,44.778153,81.09452736318408,18.90547263681592,DATAXFER
400bb8,xmm2,202249,4061,masked,<main>,cvtpd2ps,"cvtpd2ps, %xmm0,%xmm2",1,0,44.783913,81.09452736318408,18.90547263681592,CONVERT
400bc3,rflags,202368,2233,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,44.810276,81.09452736318408,18.90547263681592,CONDITION
400ba0,xmm2,202431,2700,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,44.824233,81.09452736318408,18.90547263681592,UnKnown
400b0f,r13,202574,4916,masked,<main>,xor,"xor, %r13d,%r13d",1,0,44.855912,81.09452736318408,18.90547263681592,LOGICAL
400ba3,xmm0,202630,1199,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,44.868318,81.59203980099502,18.40796019900497,UnKnown
400bbf,rdx,202723,2311,masked,<main>,add,"add, $0x40,%rdx",1,0,44.888921,81.59203980099502,18.40796019900497,INTEGER
400bdf,xmm0,202737,523,masked,<main>,cvtps2pd,"cvtps2pd, %xmm0,%xmm0",1,0,44.892023,81.59203980099502,18.40796019900497,CONVERT
400bbc,rax,202811,1300,masked,<main>,add,"add, $0x1,%eax",1,0,44.908417,81.09452736318408,18.90547263681592,INTEGER
