loop_name,COUNT,CRASHC,Crash%
loop__258.csv,11109,4566,0.4110
loop__2583.csv,1714,665,0.3880
loop__2586.csv,1714,665,0.3880
loop__259.csv,1077,444,0.4123
loop__2591.csv,1714,665,0.3880
loop__2592.csv,1714,665,0.3880
loop__2623.csv,1714,665,0.3880
loop__263.csv,605,219,0.3620
loop__264.csv,605,219,0.3620
loop__2649.csv,1714,665,0.3880
loop__265.csv,157,46,0.2930
loop__266.csv,278,78,0.2806
loop__267.csv,278,78,0.2806
loop__2674.csv,1714,665,0.3880
loop__2675.csv,1714,665,0.3880
loop__2676.csv,1714,665,0.3880
loop__268.csv,15,0,0.0000
loop__269.csv,1714,665,0.3880
loop__270.csv,1714,665,0.3880
loop__271.csv,1714,665,0.3880
loop__2713.csv,1714,665,0.3880
loop__2715.csv,1714,665,0.3880
loop__2717.csv,1714,665,0.3880
loop__272.csv,1714,665,0.3880
loop__2723.csv,1714,665,0.3880
loop__2724.csv,1714,665,0.3880
loop__2725.csv,1714,665,0.3880
loop__2728.csv,1714,665,0.3880
loop__2729.csv,1714,665,0.3880
loop__273.csv,1714,665,0.3880
loop__274.csv,1714,665,0.3880
loop__2746.csv,1714,665,0.3880
loop__2747.csv,637,221,0.3469
loop__275.csv,1714,665,0.3880
loop__276.csv,1714,665,0.3880
loop__277.csv,1714,665,0.3880
loop__279.csv,1714,665,0.3880
loop__282.csv,1714,665,0.3880
loop__283.csv,1714,665,0.3880
loop__2849.csv,1714,665,0.3880
loop__286.csv,1714,665,0.3880
loop__287.csv,1714,665,0.3880
loop__2871.csv,1714,665,0.3880
loop__2873.csv,1714,665,0.3880
loop__2874.csv,1714,665,0.3880
loop__2875.csv,1714,665,0.3880
loop__2876.csv,1714,665,0.3880
loop__2877.csv,1714,665,0.3880
loop__2879.csv,1714,665,0.3880
loop__288.csv,1714,665,0.3880
loop__2883.csv,1714,665,0.3880
loop__2884.csv,1714,665,0.3880
loop__2887.csv,1714,665,0.3880
loop__289.csv,1714,665,0.3880
loop__2899.csv,1714,665,0.3880
loop__290.csv,1714,665,0.3880
loop__291.csv,1714,665,0.3880
loop__2919.csv,1714,665,0.3880
loop__292.csv,1714,665,0.3880
loop__2934.csv,1714,665,0.3880
loop__2937.csv,1,1,1.0000
loop__2939.csv,605,219,0.3620
loop__2942.csv,1682,663,0.3942
loop__2943.csv,590,237,0.4017
loop__2949.csv,577,246,0.4263
loop__2950.csv,1077,444,0.4123
loop__2951.csv,577,246,0.4263
loop__2952.csv,1077,444,0.4123
loop__2953.csv,1077,444,0.4123
loop__2956.csv,577,246,0.4263
loop__2963.csv,1,1,1.0000
loop__302.csv,1714,665,0.3880
loop__314.csv,1714,665,0.3880
loop__328.csv,1714,665,0.3880
loop__336.csv,1714,665,0.3880
loop__340.csv,1714,665,0.3880
loop__342.csv,1714,665,0.3880
loop__349.csv,1714,665,0.3880
loop__350.csv,1714,665,0.3880
loop__351.csv,1714,665,0.3880
loop__352.csv,1714,665,0.3880
loop__353.csv,1714,665,0.3880
loop__354.csv,1714,665,0.3880
loop__355.csv,1714,665,0.3880
loop__356.csv,1714,665,0.3880
loop__367.csv,1714,665,0.3880
loop__368.csv,1714,665,0.3880
loop__369.csv,1714,665,0.3880
loop__371.csv,637,221,0.3469
loop__372.csv,637,221,0.3469
loop__380.csv,1714,665,0.3880
