IP,CrashOnSameIP,count
0x44bdf6,0.0,1
0x44cb51,100.0,1
0x44cbb3,0.0,1
0x44cf2f,100.0,1
0x44f2e2,0.0,1
0x45e2b0,0.0,1
0x45ebac,0.0,1
0x46248a,100.0,1
0x462543,0.0,1
0x4625c3,100.0,1
0x462621,100.0,1
0x462626,0.0,2
0x46262a,100.0,1
0x46262f,0.0,1
0x462633,100.0,1
0x462638,50.0,2
0x462649,100.0,1
0x46264e,0.0,1
0x462663,0.0,2
0x46266b,100.0,1
0x462670,100.0,2
0x462675,0.0,1
0x462682,0.0,1
0x46268a,0.0,1
0x46269a,100.0,2
0x4626a2,0.0,1
0x4626af,100.0,1
0x4626b4,0.0,2
0x4626ce,100.0,1
0x4626fa,0.0,1
0x462704,0.0,1
0x462714,100.0,1
0x463196,0.0,2
0x463659,100.0,1
0x46371a,0.0,1
0x463c61,0.0,1
0x4649a9,0.0,1
0x4649fb,0.0,1
0x464a95,0.0,1
0x464b90,100.0,1
0x464bac,0.0,1
0x464d35,0.0,1
0x464eaa,0.0,1
0x465787,0.0,1
0x46623a,0.0,1
0x469e27,0.0,1
0x4749e6,0.0,1
0x4749e9,0.0,1
0x474a3c,0.0,1
0x474a90,0.0,1
0x474c82,0.0,1
0x474e70,33.333333333333336,3
0x474e75,0.0,3
0x474e7a,100.0,6
0x474e7e,0.0,4
0x474e8e,0.0,9
0x474e92,0.0,5
0x474f3f,0.0,5
0x474f49,60.0,5
0x474f4e,0.0,5
0x474f52,62.5,8
0x474f61,0.0,3
0x4ff550,0.0,1
0x505dc0,0.0,1
0x505dca,0.0,2
0x505de3,0.0,1
0x63e006,0.0,1
0x63e0d2,0.0,1
0x63e0e8,0.0,1
0x63e118,100.0,1
0x63e140,0.0,1
0x64623b,0.0,1
0x646a54,100.0,2
0x646c51,100.0,1
0x646d49,100.0,1
0x646d72,100.0,1
0x646e4b,100.0,1
0x646e74,100.0,1
0x646f43,0.0,1
0x647075,100.0,1
0x64723c,100.0,1
0x647248,0.0,2
0x64724c,0.0,1
0x647263,0.0,1
0x647ca0,0.0,1
0x64aa8c,0.0,1
0x64b9a6,0.0,1
0x64b9c0,0.0,1
0x65b72c,0.0,1
0x785911,0.0,1
0x785915,50.0,2
0x78595c,0.0,1
0x786424,0.0,1
0x78657c,0.0,1
0x78ebc8,0.0,1
0x7964f7,0.0,1
0x796696,100.0,1
0x796710,0.0,1
0x7a00eb,0.0,1
0x7a02b9,0.0,1
0x7a0325,0.0,1
0x7a041e,0.0,1
0xa97020,0.0,1
0xa9745e,0.0,1
0xa974e8,100.0,2
0xa98603,100.0,1
0xa9ef3c,0.0,1
0xa9ef43,100.0,1
0xa9fe21,0.0,1
0xafb75e,100.0,1
0xafbe4d,0.0,2
0xafbe83,0.0,2
0xafbf06,100.0,3
0xafc24e,0.0,11
0xafc2ca,71.42857142857143,7
0xafc2d1,57.142857142857146,7
0xafc2d8,66.66666666666667,3
0xafc488,100.0,1
0xafc502,0.0,1
0xafc53f,100.0,1
0xafc57c,100.0,1
0xafc5b9,100.0,1
0xafc5fe,100.0,1
