IP,CrashOnSameIP,count
0x40f7ad,0.0,20
0x40f7b1,0.0,20
0x40f7b5,4.3478260869565215,23
0x40f7b9,0.0,16
0x40f7be,0.0,16
0x40f7c4,0.0,24
0x40f7c8,0.0,21
0x40f7cd,10.0,20
0x40f7d3,10.0,20
0x40f7d8,5.0,20
0x40f7dd,0.0,20
0x40f7e2,0.0,21
0x40f7e7,4.166666666666667,24
0x40f7eb,0.0,20
0x40f7f0,0.0,27
0x40f7f5,0.0,20
0x40f7fb,96.42857142857143,28
0x40f7ff,0.0,26
0x40f803,0.0,17
0x40f807,9.523809523809524,21
0x40f80b,7.142857142857143,14
0x40f80f,0.0,16
0x40f813,0.0,25
0x40f818,4.166666666666667,24
0x40f822,0.0,3
0x40f827,0.0,4
0x40f82c,0.0,3
0x40f831,0.0,2
0x40f836,0.0,1
0x40f83b,0.0,3
0x40f83f,0.0,3
0x40f843,0.0,4
0x40f848,0.0,4
0x40f84d,0.0,4
0x40f851,0.0,3
0x40f856,0.0,4
0x40f85b,0.0,1
0x40f85f,16.666666666666668,6
0x40f864,33.333333333333336,3
0x40f869,0.0,7
0x40f86e,0.0,3
0x40f872,0.0,3
0x40f876,0.0,3
0x40f87b,0.0,3
0x40f87f,0.0,2
0x40f883,0.0,1
0x40f887,0.0,5
0x40f88b,0.0,1
0x40f893,0.0,3
0x40f89b,0.0,2
0x40f89f,0.0,3
0x40f8a3,0.0,3
0x40f8a7,0.0,3
0x40f8ab,0.0,6
0x40f8b4,0.0,2
0x40f8bd,0.0,1
0x40f8c6,0.0,3
0x40f8ce,0.0,1
0x40f8d7,25.0,4
0x40f8dc,0.0,4
0x40f8e0,0.0,2
0x40f8e5,0.0,1
0x40f8e9,0.0,5
0x40f8f8,0.0,1
0x40f902,0.0,3
0x40f906,0.0,2
0x40f90b,0.0,5
0x40f910,33.333333333333336,3
0x40f914,0.0,4
0x40f918,50.0,2
0x40f91d,0.0,2
0x40f922,0.0,6
0x40f927,0.0,2
0x40f92c,0.0,7
0x40f931,0.0,6
0x40f935,0.0,4
0x40f939,0.0,2
0x40f93e,0.0,5
0x40f942,0.0,3
0x40f947,0.0,1
0x40f950,0.0,2
0x40f955,0.0,1
0x40f95f,20.0,5
0x40f986,100.0,1
0x40f989,100.0,1
0x40f991,100.0,1
0x40f9a9,0.0,1
0x40f9c7,90.9090909090909,11
0x40f9e5,0.0,1
0x40f9f2,0.0,1
0x40fa23,66.66666666666667,3
0x40fa2d,100.0,1
0x40fa32,0.0,1
0x40fa3c,50.0,2
0x40fa42,100.0,1
0x40fa47,100.0,2
0x40fa4a,0.0,2
0x40fa54,0.0,1
0x40fa58,0.0,2
0x40fa5d,100.0,1
0x40fa62,50.0,4
0x40fa6a,100.0,2
0x40fa6d,100.0,6
0x40fa7a,0.0,3
0x40fa7f,80.0,5
0x40fa86,0.0,5
0x40fa90,0.0,1
0x40fa92,0.0,3
0x40fa98,0.0,3
0x40faa2,0.0,3
0x40fab6,0.0,4
0x40fac0,0.0,2
0x40faca,0.0,4
0x40fad3,0.0,2
0x40fadc,0.0,5
0x40fae8,4.3478260869565215,23
0x40faed,100.0,19
0x40faf1,0.0,17
0x40faf7,3.7037037037037037,27
0x40fafb,4.761904761904762,21
0x40fb01,0.0,18
0x40fb06,0.0,14
0x40fb0b,0.0,21
0x40fb10,0.0,21
0x40fb15,5.882352941176471,34
0x40fb1a,0.0,23
0x40fb1f,0.0,16
0x40fb24,0.0,25
0x40fb29,0.0,17
0x40fb2d,5.882352941176471,17
0x40fb38,10.526315789473685,19
0x40fb3c,0.0,23
0x40fb40,0.0,20
0x40fb45,0.0,15
0x40fb49,4.3478260869565215,23
0x40fb4e,0.0,23
0x40fb53,0.0,21
0x40fb57,6.0606060606060606,33
0x40fb5c,8.0,25
0x40fb60,0.0,19
0x40fb77,73.07692307692308,26
0x40fb7b,9.090909090909092,22
0x40fb8e,50.0,4
0x40fb9b,0.0,3
0x40fba4,33.333333333333336,3
0x40fbac,0.0,4
0x40fbb5,50.0,2
0x40fbb8,60.0,5
0x40fbc0,3.4482758620689653,29
0x40fbc5,77.77777777777777,27
0x40fbca,11.11111111111111,18
0x40fbcf,17.647058823529413,17
0x40fbd3,0.0,18
0x40fbd7,9.523809523809524,21
0x40fbdb,0.0,17
0x40fbdf,0.0,18
0x40fbe3,0.0,15
0x40fbe8,0.0,13
0x40fbec,0.0,11
0x40fbf0,4.3478260869565215,23
0x40fbf4,0.0,14
0x40fc04,0.0,18
0x40fc09,61.904761904761905,21
0x40fc0e,17.647058823529413,17
0x40fc12,0.0,17
0x40fc17,0.0,17
0x40fc1b,0.0,27
0x40fc1f,0.0,11
0x40fc23,0.0,15
0x40fc28,5.2631578947368425,19
0x40fc2c,0.0,10
0x40fc30,0.0,16
0x40fc34,0.0,16
0x40fc3e,0.0,14
0x40fc42,9.090909090909092,11
0x40fc4c,0.0,14
0x40fc51,66.66666666666667,12
0x40fc56,0.0,14
0x40fc5a,0.0,11
0x40fc5f,0.0,18
0x40fc63,0.0,14
0x40fc67,9.090909090909092,11
0x40fc6b,0.0,17
0x40fc70,0.0,12
0x40fc74,0.0,16
0x40fc78,0.0,10
0x40fc7c,0.0,11
0x40fc86,0.0,12
0x40fc8a,0.0,17
0x40fc94,0.0,8
0x40fc99,77.77777777777777,9
0x40fc9e,22.22222222222222,9
0x40fca2,0.0,11
0x40fca7,10.0,10
0x40fcab,0.0,8
0x40fcaf,0.0,12
0x40fcb3,7.142857142857143,14
0x40fcb8,0.0,11
0x40fcbc,0.0,5
0x40fcc0,0.0,12
0x40fcc4,6.666666666666667,15
0x40fcce,0.0,11
0x40fcd2,0.0,11
