FUCOM,,,,,,,,,,,,,,,,PMULHUW,,,,,,,,,,,,,,,,,,,,,,
FSETPM287_NOP,,,,,,,,,,,,,,,,CMPSS,,,,,,,,,,,,,,,,,,,,,,
FSUBP,,,,,,,,,,,,,,,,PADDSB,,,,,,,,,,,,,,,,,,,,,,
FNINIT,,,,,,,,,,,,,,,,HSUBPD,,,,,,,,,,,,,,,,,,,,,,
FMULP,,,,,,,,,,,,,,,,PHSUBW,,,,,,,,,,,,,,,,,,,,,,
FADD,,,,,,,,,,,,,,,,PAVGW,,,,,,,,,,,,,,,,,,,,,,
FUCOMP,,,,,,,,,,,,,,,,DIVPS,,,,,,,,,,,,,,,,,,,,,,
FDIVRP,,,,,,,,,,,,,,,,SQRTPS,,,,,,,,,,,,,,,,,,,,,,
FCOMPP,,,,,,,,,,,,,,,,BLENDVPD,,,,,,,,,,,,,,,,,,,,,,
FCOMI,,,,,,,,,,,,,,,,UNPCKHPS,,,,,,,,,,,,,,,,,,,,,,
FSTP,,,,,,,,,,,,,,,,PMAXUB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,MAXSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMINSW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PACKUSDW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMADDUBSW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVZXWQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPESTRI64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDSUBPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSRLQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMULHW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUNPCKHBW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSUBW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,INSERTPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ROUNDPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ROUNDSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DIVSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,BLENDPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HADDPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DPPD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PADDD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPISTRI64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,SUBPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HADDPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PABSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSRLW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,RSQRTSS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ADDPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PACKSSWB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMINUW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PADDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UCOMISD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPGTW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PHADDSW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PADDB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSLLW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPEQQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSLLDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVZXBW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,UCOMISS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PCMPGTD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMAXSW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PEXTRD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,EXTRACTPS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMOVMSKB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PBLENDW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PMULUDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ROUNDSD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSRAW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PUNPCKHQDQ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PACKSSDW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,PSHUFB,,,,,,,,,,,,,,,,,,,,,,
