IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
0x405943,xmm1,260555,2986,masked,<solver>,movss,"movss, 0xf7d(%rip),%xmm1",1,0,53.794391,89.552238806,10.447761194,DATAXFER
0x405633,xmm1,260634,9450,crash,<solver>,movss,"movss, 0x1241(%rip),%xmm4",0,1,53.810708,89.552238806,10.447761194,DATAXFER
0x404c78,xmm1,260705,1253,masked,<master>,add,"add, $0x1,%ecx",1,0,53.825372,89.552238806,10.447761194,INTEGER
0x405745,xmm1,260735,665,masked,<solver>,movss,"movss, 0x114f(%rip),%xmm1",1,0,53.831569,89.552238806,10.447761194,DATAXFER
0x404d73,xmm1,260768,7283,masked,<master>,lea,"lea, 0x16c(%rbx),%rcx",1,0,53.838385,89.0547263682,10.9452736318,INTEGER
0x404d82,xmm1,260772,1356,masked,<master>,mov,"mov, %rbx,%rdx",1,0,53.839211,89.552238806,10.447761194,DATAXFER
0x40552b,xmm0,260783,2647,masked,<solver>,mulss,"mulss, (%rax,%rdx,1),%xmm4",1,0,53.841483,89.552238806,10.447761194,FP
0x405310,rax,260793,5133,masked,<solver>,mulss,"mulss, (%rbx,%rdx,1),%xmm4",1,0,53.843548,89.552238806,10.447761194,FP
0x405c60,xmm1,260815,3063,crash,<solver>,cmp,"cmp, $0x16c,%rax",0,1,53.848092,89.552238806,10.447761194,CONDITION
0x40583a,xmm1,260831,3595,masked,<solver>,movss,"movss, 0x1072(%rip),%xmm1",1,0,53.851397,89.0547263682,10.9452736318,DATAXFER
0x405717,xmm1,260897,856,masked,<solver>,mulss,"mulss, (%rax,%rdx,1),%xmm1",1,0,53.865029,89.0547263682,10.9452736318,FP
0x404d8c,rdx,260913,806,masked,<master>,ucomiss,"ucomiss, %xmm0,%xmm0",1,0,53.868333,89.0547263682,10.9452736318,CONDITION
0x40596f,xmm1,260959,5009,masked,<solver>,mulss,"mulss, (%r9,%rdx,1),%xmm1",1,0,53.877834,88.5572139303,11.4427860697,FP
0x4055f8,xmm0,261015,3421,masked,<solver>,movss,"movss, 0x1270(%rip),%xmm1",1,0,53.889401,88.5572139303,11.4427860697,DATAXFER
0x405275,xmm0,261053,4956,masked,<solver>,mulss,"mulss, 0x0(%r13,%rax,1),%xmm1",1,0,53.897249,88.5572139303,11.4427860697,FP
0x404d94,xmm0,261394,9243,masked,<master>,andps,"andps, %xmm2,%xmm1",1,0,53.96768,88.5572139303,11.4427860697,LOGICAL
0x404d88,rdx,261504,4369,masked,<master>,movss,"movss, (%rdx),%xmm0",1,0,53.9904,89.0547263682,10.9452736318,DATAXFER
0x404d94,xmm0,261525,7002,masked,<master>,andps,"andps, %xmm2,%xmm1",1,0,53.994737,89.0547263682,10.9452736318,LOGICAL
