IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
461f17,rflags,7600399,109,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, 0x50(%rbx),%rdx",0,1,52.28144669,54.22885572,0.45771,DATAXFER
461f58,rsp,7609939,125,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%rdx,%rcx,1),%rax",1,0,52.34707687,54.22885572,0.45771,DATAXFER
45727c,rax,7641390,288,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,mov,"mov, 0x88(%r11),%r12",1,0,52.56344319,54.22885572,0.45771,DATAXFER
480360,rax,7645518,147,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",0,1,52.59184166,54.22885572,0.45771,DATAXFER
480354,rflags,7655102,60,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, 0x10(%rbp),%r8",1,0,52.65777453,54.22885572,0.45771,DATAXFER
492608,rax,7662189,411,masked,<hypre_UnorderedIntSetCreate._omp_fn.0>,mov,"mov, 0x28(%rdi),%r8",1,0,52.70652936,54.72636816,0.45274,DATAXFER
461f17,rsp,7676510,889,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, 0x50(%rbx),%rdx",1,0,52.8050503,54.72636816,0.45274,DATAXFER
4266b3,rdi,7689972,366,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.9>,mov,"mov, (%r9,%rax,8),%rcx",1,0,52.89766178,54.72636816,0.45274,DATAXFER
461f41,rsp,7698549,895,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,52.95666702,54.72636816,0.45274,INTEGER
485890,rdi,7721778,1111,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,cmp,"cmp, %r15,%rbx",1,0,53.11647031,55.2238806,0.44776,CONDITION
428233,rdi,7734135,750,crash,<hypre_BoomerAMGBuildMultipass>,cmpq,"cmpq, $0x1,(%rcx,%rsi,8)",0,1,53.20147997,55.72139303,0.44279,UnKnown
426deb,rsi,7755669,226,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.10>,mov,"mov, (%r11,%rdx,8),%rax",0,1,53.34962255,55.72139303,0.44279,DATAXFER
455bd5,rdx,7792132,629,crash,<hypre_BoomerAMGCreateS._omp_fn.1>,add,"add, $0x1,%rax",0,1,53.60046879,55.2238806,0.44776,INTEGER
4804d0,,7806909,987,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%r9,%rbx,8),%rax",1,0,53.70212678,55.72139303,0.44279,DATAXFER
48036a,rflags,7821787,732,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,add,"add, $0x1,%rdx",1,0,53.80447958,55.72139303,0.44279,INTEGER
